,Mese,Giorno,TMinima,TMassima,TMedia,Umidita,Fenomeni,Condizioni
0,Gennaio,1,1 °C,-1 °C,9 °C,99 %,Nebbia ,nebbia al mattino
1,Gennaio,2,4 °C,-1 °C,11 °C,95 %,Nebbia ,nebbia al mattino
2,Gennaio,3,4 °C,1 °C,6 °C,99 %,Nebbia ,nebbia al mattino
3,Gennaio,4,7 °C,6 °C,7 °C,98 %,Pioggia ,pioggia e schiarite
4,Gennaio,5,7 °C,6 °C,8 °C,91 %,Pioggia ,pioggia e schiarite
5,Gennaio,6,4 °C,0 °C,7 °C,86 %,Nebbia ,poco nuvoloso
6,Gennaio,7,2 °C,-3 °C,6 °C,82 %,Nessuno,poco nuvoloso
7,Gennaio,8,-1 °C,-3 °C,5 °C,92 %,Nebbia ,nebbia al mattino
8,Gennaio,9,0 °C,-2 °C,4 °C,96 %,Nebbia ,nebbia al mattino
9,Gennaio,10,-2 °C,-4 °C,2 °C,97 %,Nebbia ,nebbia al mattino
10,Gennaio,11,0 °C,-5 °C,9 °C,82 %,Nessuno,sereno
11,Gennaio,12,1 °C,-4 °C,7 °C,79 %,Nessuno,sereno
12,Gennaio,13,1 °C,-6 °C,8 °C,82 %,Nebbia ,nebbia al mattino
13,Gennaio,14,2 °C,-3 °C,10 °C,76 %,Nessuno,sereno
14,Gennaio,15,3 °C,-2 °C,11 °C,76 %,Nessuno,sereno
15,Gennaio,16,4 °C,-3 °C,11 °C,79 %,Nebbia ,sereno
16,Gennaio,17,6 °C,-1 °C,12 °C,63 %,Nessuno,sereno
17,Gennaio,18,4 °C,-1 °C,11 °C,86 %,Nebbia ,sereno
18,Gennaio,19,4 °C,-1 °C,8 °C,88 %,Pioggia - Nebbia ,nebbia al mattino
19,Gennaio,20,4 °C,1 °C,8 °C,94 %,Pioggia - Nebbia ,pioggia e schiarite
20,Gennaio,21,1 °C,-2 °C,4 °C,98 %,Nebbia ,nebbia al mattino
21,Gennaio,22,2 °C,-1 °C,7 °C,90 %,Nebbia ,nebbia al mattino
22,Gennaio,23,2 °C,-3 °C,6 °C,89 %,Nebbia ,nebbia al mattino
23,Gennaio,24,-1 °C,-4 °C,2 °C,100 %,Nebbia ,nebbia
24,Gennaio,25,2 °C,1 °C,4 °C,95 %,Nebbia ,nubi sparse
25,Gennaio,26,2 °C,1 °C,4 °C,97 %,Nebbia ,nubi sparse
26,Gennaio,27,1 °C,0 °C,2 °C,100 %,Pioggia - Nebbia ,nebbia al mattino
27,Gennaio,28,5 °C,-1 °C,16 °C,78 %,Nebbia ,sereno
28,Gennaio,29,4 °C,-3 °C,11 °C,76 %,Nessuno,sereno
29,Gennaio,30,9 °C,3 °C,16 °C,61 %,Nessuno,sereno
30,Gennaio,31,6 °C,0 °C,13 °C,67 %,Nessuno,sereno
31,Febbraio,1,11 °C,7 °C,16 °C,28 %,Nessuno,sereno
32,Febbraio,2,12 °C,3 °C,19 °C,41 %,Nessuno,sereno
33,Febbraio,3,8 °C,1 °C,12 °C,72 %,Nessuno,poco nuvoloso
34,Febbraio,4,8 °C,5 °C,11 °C,86 %,Pioggia ,poco nuvoloso
35,Febbraio,5,4 °C,0 °C,8 °C,99 %,Pioggia - Nebbia ,nebbia
36,Febbraio,6,4 °C,-1 °C,8 °C,97 %,Nebbia ,nebbia al mattino
37,Febbraio,7,9 °C,2 °C,14 °C,46 %,Nebbia ,nebbia al mattino
38,Febbraio,8,5 °C,-2 °C,14 °C,46 %,Nessuno,sereno
39,Febbraio,9,7 °C,0 °C,15 °C,68 %,Nessuno,sereno
40,Febbraio,10,8 °C,5 °C,11 °C,87 %,Pioggia ,poco nuvoloso
41,Febbraio,11,10 °C,8 °C,14 °C,69 %,Pioggia ,poco nuvoloso
42,Febbraio,12,6 °C,1 °C,11 °C,63 %,Nessuno,sereno
43,Febbraio,13,3 °C,-1 °C,10 °C,65 %,Nessuno,sereno
44,Febbraio,14,4 °C,0 °C,6 °C,76 %,Pioggia ,pioggia e schiarite
45,Febbraio,15,3 °C,1 °C,5 °C,97 %,Pioggia - Neve - Nebbia ,pioggia e schiarite
46,Febbraio,16,4 °C,-2 °C,9 °C,94 %,Nebbia ,nebbia al mattino
47,Febbraio,17,8 °C,0 °C,17 °C,83 %,Nebbia ,nebbia al mattino
48,Febbraio,18,7 °C,2 °C,10 °C,89 %,Nessuno,poco nuvoloso
49,Febbraio,19,9 °C,7 °C,13 °C,94 %,Pioggia - Nebbia ,pioggia e schiarite
50,Febbraio,20,10 °C,6 °C,16 °C,84 %,Nebbia ,nebbia al mattino
